Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level,metal_oxide_mean,metal_oxide_std,CO2_mean,CO2_diff
3,23.52,43.25,88.69,603.7,496.31,747.5,702.3,630.52,1,Moderate Activity,644.1575,109.70428018845328,346.19500000000005,-515.01
0,20.44,55.18,108.07,597.21,438.53,708.26,635.63,563.89,2,Low Activity,586.5775,114.95733045352088,352.64,-489.14000000000004
3,23.49,43.42,93.22,607.43,504.06,747.21,696.33,621.1,1,Moderate Activity,642.175,105.64882725331125,350.325,-514.2099999999999
2,22.78,45.92,172.03,573.6,401.79,717.27,667.66,598.16,2,Low Activity,596.2199999999999,138.52023269785053,372.815,-401.57000000000005
3,23.5,43.56,88.46,602.99,501.94,743.2,697.49,623.58,1,Moderate Activity,641.5525,105.31837300142207,345.725,-514.53
3,23.31,44.3,99.03,605.69,505.63,738.96,701.8,631.61,1,Moderate Activity,644.5,102.72456797994658,352.36,-506.6600000000001
1,19.41,53.95,87.99,551.98,533.92,736.56,661.01,597.37,2,Moderate Activity,632.215,86.78154969039596,319.985,-463.99
3,23.68,43.92,90.02,599.05,496.19,738.78,694.5,618.92,1,High Activity,637.0975,106.17551958117905,344.53499999999997,-509.03
3,23.75,43.9,96.74,603.32,478.41,738.22,706.41,621.05,1,Moderate Activity,636.0225,116.13871745316747,350.03000000000003,-506.58000000000004
2,22.29,53.76,110.68,545.62,503.63,725.44,670.71,597.38,2,High Activity,624.2900000000001,96.03666417919081,328.15,-434.94
3,23.77,43.48,103.02,603.38,481.78,746.67,702.47,620.87,1,Low Activity,637.9475,116.42402970034436,353.2,-500.36
2,23.22,50.71,119.72,564.93,411.36,706.15,649.02,567.72,2,Low Activity,583.5625,128.0846923914017,342.325,-445.2099999999999
3,24.63,43.08,116.66,599.54,473.74,742.02,697.73,632.16,1,Moderate Activity,636.4125,117.4637616104076,358.09999999999997,-482.88
0,18.91,51.62,123.16,594.01,484.33,727.0,670.41,591.99,1,Moderate Activity,618.4324999999999,105.15266500823141,358.585,-470.85
3,23.95,44.19,107.59,599.17,447.11,733.83,869.59,621.22,1,Moderate Activity,667.9375,178.8415144525081,353.38,-491.5799999999999
3,21.37,50.88,116.62,586.24,469.77,705.09,668.3,558.61,1,Low Activity,600.4425,107.05294620731682,351.43,-469.62
3,23.75,44.97,108.22,600.6,415.94,726.54,663.986,580.33,1,Low Activity,596.699,134.57090558759967,354.41,-492.38
0,21.14,54.02,119.14,547.25,441.09,706.49,665.9839999999999,588.21,2,Low Activity,600.4435,117.02508817485818,333.195,-428.11
3,20.31,49.77,112.17,583.72,450.62,712.94,854.3,606.88,2,High Activity,656.185,170.44904957200552,347.945,-471.55
3,24.45,43.17,99.42,602.6,344.95,722.07,657.27,572.79,3,Moderate Activity,574.27,164.64476183589932,351.01,-503.18
0,21.25,51.67,108.64,555.74,466.02,745.82,707.03,639.26,1,High Activity,639.5325,123.77345848363456,332.19,-447.1
3,24.04,44.2,112.69,603.67,442.51,735.23,682.67,604.42,3,Low Activity,616.2075,127.66281901295042,358.17999999999995,-490.97999999999996
2,21.44,45.68,124.94,584.12,490.36,739.98,703.096,648.11,1,Moderate Activity,645.3865000000001,110.02870805233816,354.53,-459.18
3,23.2,48.06,100.48,564.46,459.47,733.74,661.77,623.81,1,Moderate Activity,619.6975,116.14007559121586,332.47,-463.98
3,21.68,45.84,111.58,588.64,430.37,733.34,695.528,637.17,1,Moderate Activity,624.102,135.07710707592165,350.11,-477.06
0,19.89,55.7,145.55,573.46,462.68,711.62,653.97,586.22,1,Low Activity,603.6225,107.02953809579859,359.505,-427.91
3,23.83,50.23,128.69,557.73,460.47,712.31,659.61,597.1,1,Low Activity,607.3725,108.6684622678846,343.21000000000004,-429.04
3,23.35,45.82,109.59,597.97,363.91,713.25,516.21,569.1,4,Low Activity,540.6175000000001,144.26191397940065,353.78000000000003,-488.38
3,23.28,46.32,108.31,596.52,440.63,728.71,683.62,585.56,4,Low Activity,609.63,127.53421946024265,352.41499999999996,-488.21
3,23.4,45.97,103.65,597.08,447.11,730.38,685.9,614.24,4,Low Activity,619.4075,124.43107847988244,350.365,-493.43000000000006
2,19.35,51.15,107.39,563.22,507.04,738.69,706.9559999999999,644.82,1,Low Activity,649.3765,102.58775272419217,335.305,-455.83000000000004
3,22.84,47.0,108.29,598.27,454.8,561.11,672.986,601.01,3,Moderate Activity,572.4765,91.09203438830423,353.28,-489.97999999999996
3,23.58,50.32,109.73,551.08,462.77,734.2,654.0439999999999,617.26,1,Low Activity,617.0685,113.86401197188397,330.40500000000003,-441.35
3,22.81,46.91,108.8,600.02,458.13,730.07,677.52,610.29,3,Low Activity,619.0025,117.92109830306026,354.40999999999997,-491.21999999999997
3,22.44,47.11,111.24,596.93,457.4,730.55,640.2679999999999,609.24,3,Moderate Activity,609.3644999999999,113.6283070409834,354.085,-485.68999999999994
3,24.28,51.47,135.58,555.81,411.62,687.94,625.91,563.79,2,Low Activity,572.3149999999999,118.51458883473657,345.695,-420.2299999999999
3,22.53,46.76,106.28,593.49,458.14,737.68,695.22,627.26,3,High Activity,629.575,123.00579322400496,349.885,-487.21000000000004
3,22.3,47.22,107.05,599.67,459.71,735.21,689.13,611.8,2,Moderate Activity,623.9625000000001,120.76094770937611,353.35999999999996,-492.61999999999995
2,18.47,51.49,70.07,585.71,578.96,770.18,743.85,676.86,0,Moderate Activity,692.4625,85.25831430619145,327.89,-515.6400000000001
3,21.93,48.62,107.61,601.47,467.93,729.92,818.11,608.21,2,Moderate Activity,656.0425,152.09429123080196,354.54,-493.86
3,23.82,53.56,123.83,545.08,446.65,697.73,639.676,564.74,2,Low Activity,587.1990000000001,108.36568579275148,334.45500000000004,-421.25000000000006
3,21.48,49.16,108.41,597.47,449.75,731.07,681.92,613.86,2,High Activity,619.1500000000001,122.73345563998977,352.94,-489.06000000000006
0,20.91,55.97,107.39,604.7,422.89,721.65,888.18,604.38,3,Low Activity,659.275,195.94171658939808,356.045,-497.31000000000006
3,22.99,51.95,192.64,555.48,337.93,675.19,587.82,524.16,2,Low Activity,531.275,142.99391187506322,374.06,-362.84000000000003
3,21.48,48.7,103.56,601.6,458.36,567.31,687.59,606.93,2,Moderate Activity,580.0475,95.32077366275762,352.58000000000004,-498.04
3,21.42,48.48,105.78,601.64,467.91,731.23,679.13,609.35,2,High Activity,621.905,114.16179206138395,353.71,-495.86
3,21.69,48.0,100.92,599.5,445.39,730.78,683.7139999999999,604.58,2,High Activity,616.116,125.16358478940002,350.21,-498.58
3,21.65,48.08,104.3,598.51,460.98,727.71,683.65,607.15,2,Moderate Activity,619.8725000000001,117.05438120093298,351.405,-494.21
2,22.03,45.88,82.02,595.02,501.84,747.97,701.68,649.65,0,Moderate Activity,650.285,106.80219489005522,338.52,-513.0
0,20.81,49.62,99.99,598.62,460.14,725.06,677.248,613.49,2,High Activity,618.9845,115.33778196092842,349.305,-498.63
2,22.02,49.51,103.6,580.48,477.12,721.28,677.824,610.06,2,High Activity,621.571,106.62219783265894,342.04,-476.88
3,25.76,48.11,113.19,550.95,472.24,677.25,590.21,545.04,2,Low Activity,571.185,85.80094968394388,332.07000000000005,-437.76000000000005
3,22.21,51.93,96.84,603.22,473.49,737.88,684.414,608.71,1,High Activity,626.1234999999999,114.72795792220832,350.03000000000003,-506.38
0,20.69,49.31,106.38,598.78,465.56,732.07,689.596,618.88,2,Moderate Activity,626.5265,117.02688481284974,352.58,-492.4
0,20.53,49.7,103.35,596.71,463.82,735.98,532.3,616.3,2,High Activity,587.0999999999999,117.2161718080459,350.03000000000003,-493.36
0,20.77,48.97,105.03,600.13,469.52,738.12,686.43,612.08,2,Moderate Activity,626.5374999999999,116.76369366516859,352.58,-495.1
0,20.34,48.59,111.72,586.57,370.63,703.24,633.35,538.55,2,Low Activity,561.4424999999999,144.00312065484323,349.14500000000004,-474.85
2,20.16,51.11,89.92,616.71,375.21,890.33,703.96,612.23,1,Moderate Activity,645.4325,214.10500482629237,353.315,-526.7900000000001
3,24.57,43.66,136.26,581.47,445.44,703.88,651.2180000000001,559.02,1,Low Activity,589.8895,113.39253808929993,358.865,-445.21000000000004
0,19.53,52.39,111.46,593.86,459.96,712.45,642.512,589.07,1,Low Activity,600.998,106.73792691759883,352.66,-482.40000000000003
0,20.0,50.74,110.18,596.16,491.35,726.95,687.592,619.55,2,Moderate Activity,631.3605,103.3469272612076,353.16999999999996,-485.97999999999996
0,20.06,50.52,111.22,601.64,474.04,736.73,690.39,609.16,2,Low Activity,627.5799999999999,115.14142984463354,356.43,-490.41999999999996
2,17.04,42.94,62.56,634.42,607.82,801.21,778.26,718.05,0,Low Activity,726.335,86.44250054226796,348.49,-571.8599999999999
0,20.16,50.06,109.04,594.91,470.18,732.41,692.63,619.42,2,Low Activity,628.66,115.55303457720181,351.97499999999997,-485.86999999999995
0,20.07,50.34,106.55,600.47,466.78,741.35,687.77,613.53,2,Low Activity,627.3575000000001,119.19213267521758,353.51,-493.92
0,20.0,50.09,117.57,592.65,474.03,740.39,694.05,617.93,2,Low Activity,631.6,116.54818803110298,355.11,-475.08
1,20.39,58.31,122.12,544.38,483.56,724.2,676.89,605.09,1,Low Activity,622.4350000000001,104.73550321325304,333.25,-422.26
0,19.76,50.71,112.82,591.11,476.9,729.51,696.07,620.71,1,High Activity,630.7975,112.23614253736035,351.96500000000003,-478.29
3,21.23,49.11,112.84,595.1,401.24,723.36,684.71,612.87,2,Moderate Activity,605.545,143.6914055653063,353.97,-482.26
0,19.59,51.09,112.51,594.66,491.82,725.55,693.89,635.08,1,High Activity,636.5849999999999,103.53389863550326,353.585,-482.15
2,17.87,48.5,84.88,604.52,449.59,759.84,729.44,652.17,0,Moderate Activity,647.76,139.67145473097455,344.7,-519.64
0,19.42,51.23,112.27,600.42,469.95,742.52,693.11,624.31,1,Moderate Activity,632.4725,118.69786304591446,356.34499999999997,-488.15
0,19.66,50.72,111.1,598.85,472.79,853.9,696.43,607.66,1,Low Activity,657.6949999999999,159.88554500016565,354.975,-487.75
3,24.24,51.92,119.15,552.08,476.51,719.33,679.9979999999999,600.03,1,Low Activity,618.9670000000001,107.16050508155202,335.615,-432.93000000000006
0,19.59,50.72,109.53,594.24,471.38,734.56,700.21,613.22,1,Moderate Activity,629.8425,117.33713716608793,351.885,-484.71000000000004
1,17.62,55.08,131.39,582.59,497.93,737.92,690.76,617.74,1,Moderate Activity,636.0875,104.53558544820991,356.99,-451.20000000000005
0,19.56,50.71,111.7,578.93,485.13,736.98,691.28,623.44,1,Moderate Activity,634.2075,109.78691038401011,345.315,-467.22999999999996
0,19.47,51.03,117.93,598.19,486.98,734.87,697.02,616.68,1,High Activity,633.8874999999999,109.63741678064716,358.06000000000006,-480.26000000000005
2,16.68,42.11,70.47,604.86,554.98,792.77,882.86,702.73,0,Moderate Activity,733.335,139.80631471193757,337.665,-534.39
0,19.43,50.87,112.34,590.84,480.58,733.11,694.74,615.57,1,Moderate Activity,631.0,111.58479735161059,351.59000000000003,-478.5
0,19.23,51.37,109.89,596.79,481.95,738.67,694.49,618.86,1,Low Activity,633.4925,112.49035643852616,353.34,-486.9
3,23.6,51.59,112.03,537.84,490.18,716.48,678.37,601.81,1,Moderate Activity,621.71,99.81292401287521,324.935,-425.81000000000006
0,20.76,54.95,186.54,565.77,358.11,692.67,619.31,541.43,2,Low Activity,552.88,143.78298972177942,376.155,-379.23
3,23.63,51.3,151.14,563.27,405.42,684.85,614.4979999999999,549.09,2,Low Activity,563.4645,119.05677631981585,357.205,-412.13
0,19.19,51.47,107.28,600.21,481.51,741.28,681.58,641.67,1,High Activity,636.51,111.1450754644577,353.745,-492.93000000000006
0,19.01,51.82,113.8,597.64,475.8,741.66,689.38,629.73,1,Low Activity,634.1425,115.04058946737015,355.71999999999997,-483.84
2,20.05,49.79,109.05,584.31,437.92,712.58,670.77,604.66,2,Moderate Activity,606.4825,120.83901146428941,346.67999999999995,-475.25999999999993
0,19.22,51.11,111.08,596.2,476.02,749.17,706.98,628.49,1,Low Activity,640.165,120.31378543902052,353.64000000000004,-485.12000000000006
1,20.68,56.39,134.33,566.56,457.83,707.67,673.2099999999999,581.16,1,Low Activity,604.9675,111.68569480913835,350.445,-432.2299999999999
2,19.95,46.63,91.92,578.93,455.21,720.46,677.25,610.21,2,Low Activity,615.7825,116.26150563134244,335.42499999999995,-487.00999999999993
2,21.46,46.66,132.47,584.26,456.79,750.34,698.9,642.78,1,High Activity,637.2025000000001,128.0448542178352,358.365,-451.78999999999996
1,18.83,51.65,110.75,593.14,469.59,748.57,703.58,617.4,1,Low Activity,634.7850000000001,122.84326667207559,351.945,-482.39
0,19.18,50.89,102.51,594.51,486.07,746.47,707.57,637.57,1,Low Activity,644.4200000000001,114.78061683054332,348.51,-492.0
0,19.11,51.15,109.2,600.51,489.36,740.99,699.18,631.1,1,High Activity,640.1574999999999,110.26146633495009,354.855,-491.31
3,23.35,46.64,100.66,578.93,438.69,720.78,682.38,607.59,1,Moderate Activity,612.36,124.95561692056903,339.79499999999996,-478.27
0,20.25,50.79,114.84,591.06,432.22,731.52,691.17,596.93,2,Moderate Activity,612.9599999999999,133.03782194047926,352.95,-476.2199999999999
1,18.97,51.57,114.92,599.21,487.02,742.87,695.946,635.08,1,Low Activity,640.2289999999999,111.26405357227165,357.065,-484.29
1,18.88,51.68,108.32,604.95,490.34,747.46,708.29,640.49,1,Moderate Activity,646.645,113.18555163977425,356.635,-496.63000000000005
2,18.38,45.77,73.61,606.99,558.92,830.01,735.6279999999999,683.17,0,Low Activity,701.932,113.054322175964,340.3,-533.38
0,20.58,57.19,126.46,559.77,447.48,701.61,628.1500000000001,577.84,1,Low Activity,588.7700000000001,107.02955822263928,343.115,-433.31
1,19.04,51.29,111.74,578.93,470.79,742.68,701.4,637.79,1,Moderate Activity,638.165,119.63358182383404,345.335,-467.18999999999994
2,19.94,56.57,135.23,539.24,501.53,714.12,699.866,598.55,2,Moderate Activity,628.5165,99.06609353860686,337.235,-404.01
1,19.42,57.25,136.44,561.53,405.87,690.47,640.27,571.01,2,Low Activity,576.905,124.09654131629402,348.985,-425.09
1,17.06,41.66,60.42,631.41,609.12,803.02,776.3,722.48,0,Moderate Activity,727.7299999999999,85.87495482774162,345.91499999999996,-570.99
1,18.86,51.59,110.84,599.85,483.56,750.08,700.74,638.2,1,Low Activity,643.145,115.82185098964129,355.345,-489.01
1,18.86,51.49,111.62,597.39,484.31,746.6,705.15,649.53,1,High Activity,646.3975,115.14421026839923,354.505,-485.77
3,24.85,48.59,137.08,578.93,445.28,710.84,673.79,606.36,2,Low Activity,609.0675,117.44547596650969,358.005,-441.8499999999999
3,22.3,48.12,164.84,567.42,420.39,703.05,652.52,567.31,2,Low Activity,585.8175,123.69514659705393,366.13,-402.5799999999999
0,21.22,52.39,126.23,571.5,421.22,710.08,660.5,588.35,1,Low Activity,595.0375,126.19741370170784,348.865,-445.27
1,18.47,52.56,113.41,595.46,504.79,746.87,695.0459999999999,626.81,1,Low Activity,643.379,104.660257742214,354.435,-482.05000000000007
2,17.91,47.16,77.38,606.68,481.8,771.78,736.47,673.05,0,Low Activity,665.775,129.27305635746373,342.03,-529.3
1,18.48,41.16,82.24,616.64,515.97,782.05,746.13,684.97,1,Low Activity,682.28,117.89420059245208,349.44,-534.4
1,18.98,56.46,108.8,602.48,497.11,731.22,679.28,600.02,1,Moderate Activity,626.9075,101.97108262476507,355.64,-493.68
1,17.9,39.69,61.03,624.61,561.74,892.25,768.17,712.03,1,Moderate Activity,733.5474999999999,137.0717827453922,342.82,-563.58
1,17.58,39.9,60.7,625.77,555.72,800.27,770.85,723.79,0,Moderate Activity,712.6575,109.2636393850519,343.235,-565.0699999999999
1,17.46,40.04,67.97,629.78,575.92,795.58,758.872,717.45,0,Low Activity,711.9555,96.14236278041021,348.875,-561.81
2,24.13,53.06,117.39,553.87,478.81,699.29,648.66,578.62,1,Low Activity,601.3449999999999,95.50424789854462,335.63,-436.48
1,17.37,44.26,60.77,621.14,602.6,800.02,765.436,722.84,0,Moderate Activity,722.724,86.07898580567344,340.955,-560.37
1,17.1,41.08,62.89,629.96,595.24,795.6,772.26,731.08,0,Low Activity,723.5450000000001,89.59915085163102,346.425,-567.07
3,22.79,48.37,86.07,604.94,498.86,739.69,681.7299999999999,609.66,1,Low Activity,632.485,103.75388073063421,345.505,-518.8700000000001
1,19.18,54.97,96.92,576.68,474.95,728.35,694.45,620.32,1,Moderate Activity,629.5175,112.48673799608558,336.79999999999995,-479.75999999999993
3,23.54,50.53,103.77,540.0,425.3,719.67,656.63,588.67,2,Low Activity,597.5675,126.69208930184497,321.885,-436.23
1,18.47,44.2,74.9,617.94,556.77,777.18,489.23,690.51,0,Moderate Activity,628.4224999999999,129.73342447110534,346.42,-543.0400000000001
1,18.55,45.21,70.41,620.77,533.08,775.42,796.67,677.62,0,Low Activity,695.6975,120.1698382498703,345.59,-550.36
1,19.57,56.21,112.23,552.44,510.42,724.5,695.23,621.45,1,Low Activity,637.9000000000001,95.40796926881946,332.33500000000004,-440.21000000000004
3,24.13,46.88,100.8,602.82,459.83,712.83,674.18,583.7,1,High Activity,607.635,112.41801056770218,351.81,-502.02000000000004
1,19.09,44.86,77.79,617.76,532.67,764.49,742.31,655.58,0,Low Activity,673.7624999999999,105.14741378179494,347.775,-539.97
1,18.96,45.58,80.86,617.47,517.57,767.03,719.76,664.39,0,Low Activity,667.1875,108.20599933306221,349.165,-536.61
1,18.33,47.02,84.12,613.45,528.93,771.45,737.4,668.29,0,Moderate Activity,676.5175,107.34464786378503,348.785,-529.33
1,18.79,46.57,77.49,607.58,519.45,769.43,759.192,661.38,0,Moderate Activity,677.363,115.99466882576972,342.535,-530.09
1,18.12,48.12,87.88,617.29,505.14,762.88,724.14,658.25,0,Moderate Activity,662.6025,113.51332385084433,352.585,-529.41
1,18.12,48.39,92.76,612.16,500.19,764.41,561.17,658.95,0,Moderate Activity,621.1800000000001,115.73127782352819,352.46,-519.4
0,18.88,55.94,110.03,601.34,476.09,738.75,698.222,638.22,1,Moderate Activity,637.8205,115.45853426374914,355.685,-491.31000000000006
1,18.36,48.48,92.81,605.89,514.02,766.24,723.03,663.8,0,Low Activity,666.7725,110.15269988369177,349.35,-513.0799999999999
1,18.29,44.55,78.02,616.13,558.26,788.29,743.97,697.32,0,Moderate Activity,696.96,99.6475933812085,347.075,-538.11
1,18.27,43.49,75.77,621.85,568.69,789.25,749.25,699.74,0,Low Activity,701.7325000000001,95.95398632504364,348.81,-546.08
2,23.08,53.09,107.37,578.93,470.41,718.44,670.0360000000001,599.82,1,Low Activity,614.6765,107.80395290680828,343.15,-471.55999999999995
2,20.58,44.4,70.96,562.55,506.87,759.94,714.6479999999999,655.77,1,Moderate Activity,659.307,110.21067145547507,316.755,-491.59
0,20.66,52.92,125.89,568.02,375.16,688.98,657.95,555.13,2,Moderate Activity,569.3050000000001,141.50765974556526,346.955,-442.13
1,17.45,41.81,58.16,623.64,595.46,796.02,765.6940000000001,727.43,0,Moderate Activity,721.151,88.36873378444814,340.9,-565.48
1,17.35,42.07,62.04,631.49,609.67,800.81,771.7,727.28,0,Moderate Activity,727.365,84.08701941044964,346.765,-569.45
1,17.32,41.81,61.84,630.6,604.75,803.47,793.156,711.1,0,Low Activity,728.119,92.04553418824837,346.22,-568.76
0,21.25,51.6,105.74,554.36,459.14,745.58,705.12,632.45,1,Low Activity,635.5725,126.59210332797225,330.05,-448.62
2,17.46,41.31,59.33,626.66,619.72,796.47,765.318,722.59,0,Moderate Activity,726.0245,77.06921158499892,342.995,-567.3299999999999
0,19.91,48.15,113.04,588.73,458.61,735.14,678.35,620.15,1,High Activity,623.0625,119.26326771055705,350.885,-475.69
3,23.43,45.77,106.5,601.34,373.33,721.9,657.99,568.67,4,Low Activity,580.4725,151.72125194469848,353.92,-494.84000000000003
0,20.21,58.77,128.41,549.31,489.44,721.25,687.51,610.6,1,Low Activity,627.2,102.8527688818666,338.85999999999996,-420.9
3,23.38,49.8,141.36,589.26,434.59,704.95,650.288,567.09,2,Low Activity,589.2295,117.64764760787473,365.31,-447.9
2,17.22,42.15,59.44,578.93,596.77,800.11,762.6,718.77,0,Low Activity,719.5625,88.35298952685946,319.18499999999995,-519.49
2,17.17,42.34,57.03,630.47,605.64,799.41,769.522,719.74,0,Low Activity,723.578,85.21628453138128,343.75,-573.44
2,17.14,42.61,56.35,633.35,615.99,792.5,764.95,711.05,0,Low Activity,721.1225,77.82436438331294,344.85,-577.0
3,22.29,51.33,123.66,544.29,402.86,878.56,583.81,493.94,4,Low Activity,589.7925,206.19886895502924,333.97499999999997,-420.63
0,21.82,57.31,138.45,540.7,454.11,703.35,661.92,592.06,1,Low Activity,602.86,109.28483609357704,339.57500000000005,-402.25000000000006
2,16.9,43.75,60.49,632.64,590.19,796.68,768.94,705.93,0,Low Activity,715.435,91.72456977277133,346.565,-572.15
1,20.08,58.94,129.35,547.57,471.76,724.47,688.33,619.4,1,Low Activity,625.99,111.67647767845594,338.46000000000004,-418.22
2,17.17,45.86,69.54,625.26,577.28,784.99,749.376,698.75,0,Moderate Activity,702.5989999999999,90.73042703893037,347.4,-555.72
2,17.09,46.48,63.26,614.01,566.23,784.5,846.38,700.94,0,Low Activity,724.5125,121.18745847515189,338.635,-550.75
3,20.09,51.41,107.69,587.92,445.42,822.77,670.27,579.41,2,Low Activity,629.4675,158.54540472159175,347.80499999999995,-480.22999999999996
2,17.14,46.99,68.63,624.19,559.19,777.52,753.96,679.24,0,Moderate Activity,692.4775,98.23969610939696,346.41,-555.5600000000001
0,19.63,57.04,125.21,564.92,398.54,696.17,873.66,561.5,2,Low Activity,632.4675,201.65175581928364,345.065,-439.71
0,20.55,58.37,123.83,549.97,458.31,713.41,690.19,609.27,1,Low Activity,617.7950000000001,115.31320407192463,336.90000000000003,-426.14000000000004
2,17.23,47.45,73.14,623.48,531.26,778.01,739.53,680.54,0,Moderate Activity,682.335,108.4002633760638,348.31,-550.34
1,18.76,56.51,125.83,575.67,432.46,717.79,675.87,604.68,2,Low Activity,607.6999999999999,125.81088320703155,350.75,-449.84
0,21.24,52.22,128.64,568.67,408.14,717.42,660.86,598.73,1,Low Activity,596.2875,134.47197709931982,348.655,-440.03
2,17.53,47.55,101.01,602.11,347.33,726.99,482.28,631.4,1,Low Activity,547.0,166.90970353257876,351.56,-501.1
2,17.89,47.19,74.47,578.93,496.55,770.2,687.586,660.76,0,Moderate Activity,653.774,114.69736293394021,326.7,-504.4599999999999
0,19.65,56.91,136.6,562.47,390.58,696.25,648.85,570.76,2,Low Activity,576.6099999999999,134.379723916966,349.535,-425.87
2,17.89,47.52,75.34,611.53,495.62,775.58,730.852,664.79,0,Moderate Activity,666.7105,122.8038375662585,343.435,-536.1899999999999
1,18.41,56.98,106.79,604.4,497.17,741.77,706.36,632.78,1,Low Activity,644.52,108.21521488835721,355.59499999999997,-497.60999999999996
2,18.04,47.14,78.97,613.59,486.01,775.43,722.67,672.24,0,Moderate Activity,664.0875000000001,125.97237908234749,346.28000000000003,-534.62
2,17.78,48.03,77.96,620.22,495.05,767.73,729.29,672.94,0,Low Activity,666.2525,120.59080682898953,349.09000000000003,-542.26
2,17.59,48.64,80.02,621.18,492.49,768.49,729.82,667.84,0,Low Activity,664.6600000000001,122.03703782049121,350.59999999999997,-541.16
2,19.21,54.09,98.68,586.99,473.39,731.99,680.62,612.89,1,Moderate Activity,624.7225,112.06007417898671,342.83500000000004,-488.31
2,17.76,48.41,87.43,614.41,463.29,765.05,738.12,652.53,0,Moderate Activity,654.7475,136.3555485669725,350.91999999999996,-526.98
2,17.67,49.14,88.04,578.93,470.34,765.81,721.242,648.91,0,Moderate Activity,651.5754999999999,130.0722280927024,333.48499999999996,-490.88999999999993
3,24.27,45.18,117.58,593.43,394.92,710.15,659.08,583.78,2,Low Activity,586.9825000000001,138.16239536019438,355.505,-475.84999999999997
2,17.9,48.89,89.68,607.43,438.06,765.7,718.6279999999999,638.88,0,Moderate Activity,640.317,144.6414744900876,348.55499999999995,-517.75
2,17.82,49.24,87.3,608.42,430.78,760.17,720.83,646.09,0,Moderate Activity,639.4675,146.95042256375675,347.85999999999996,-521.12
2,17.73,49.36,90.76,612.51,431.84,767.88,726.39,651.71,0,Moderate Activity,644.455,149.67169416203365,351.635,-521.75
2,17.76,49.34,93.91,603.61,433.37,764.74,725.88,648.92,0,Moderate Activity,643.2275000000001,147.95190465711033,348.76,-509.70000000000005
2,22.38,52.05,110.97,546.16,464.22,693.3,621.94,558.49,4,Low Activity,584.4875,97.26765730875464,328.565,-435.18999999999994
2,17.37,41.38,63.18,631.29,596.79,796.76,775.75,711.29,0,Moderate Activity,720.1475,89.9196702155133,347.23499999999996,-568.11
1,16.02,45.05,73.42,612.24,578.65,778.34,743.518,675.65,0,Moderate Activity,694.0395,87.95378840239538,342.83,-538.82
2,17.65,49.84,92.66,615.22,427.97,765.65,716.07,646.38,0,Low Activity,639.0175,148.96099206951237,353.94,-522.5600000000001
1,17.02,53.97,115.2,587.34,500.63,760.89,722.98,671.53,0,High Activity,664.0074999999999,114.90977631022812,351.27000000000004,-472.14000000000004
2,17.45,50.53,93.77,578.93,446.18,762.16,719.7,649.95,0,High Activity,644.4975,140.07074459596004,336.34999999999997,-485.15999999999997
2,17.76,50.14,100.54,611.91,478.86,777.97,725.9379999999999,654.06,1,Moderate Activity,659.2069999999999,130.52357200648981,356.22499999999997,-511.36999999999995
2,22.29,50.8,119.57,566.61,380.0,693.15,637.67,561.52,2,Low Activity,568.085,136.50688981390888,343.09000000000003,-447.04
2,18.43,46.26,81.34,614.31,539.93,765.77,721.34,660.5,1,Moderate Activity,671.885,97.98287350348531,347.825,-532.9699999999999
2,17.98,49.93,87.25,611.93,407.21,752.31,705.3979999999999,634.7,1,Low Activity,624.9045,152.9686374424509,349.59,-524.68
2,18.24,49.73,96.29,606.18,441.64,752.14,713.7,650.73,1,High Activity,639.5525,138.40531188626156,351.23499999999996,-509.88999999999993
0,19.38,48.09,117.08,578.93,465.0,720.31,679.0640000000001,612.67,2,High Activity,619.261,111.99285187308459,348.005,-461.84999999999997
3,24.44,50.09,138.92,557.81,423.65,685.26,605.36,556.57,2,Low Activity,567.71,109.71616137409596,348.36499999999995,-418.89
0,21.1,50.61,107.37,560.58,436.61,708.04,848.83,590.97,2,Low Activity,646.1125,174.9870403534692,333.975,-453.21000000000004
2,20.16,46.34,103.18,598.09,516.98,757.43,471.25,656.51,1,Moderate Activity,600.5425,130.95201497113356,350.635,-494.91
2,20.45,46.23,97.83,609.37,484.8,758.89,724.0,648.22,1,Low Activity,653.9775,121.87966534660323,353.6,-511.54
2,20.98,45.4,98.96,606.59,498.58,755.51,720.1,665.96,1,Moderate Activity,660.0375,113.76306148453168,352.77500000000003,-507.63000000000005
2,21.49,44.59,97.55,599.01,512.67,760.23,721.25,669.13,1,Moderate Activity,665.82,108.70696328509352,348.28,-501.46
3,21.81,44.23,95.31,604.32,507.92,757.22,725.95,665.81,1,Moderate Activity,664.225,110.89305794322746,349.81500000000005,-509.01000000000005
1,19.88,48.96,86.94,614.7,514.46,752.81,728.19,655.74,0,Moderate Activity,662.8,107.13270804629802,350.82000000000005,-527.76
3,21.97,44.56,105.19,604.18,488.0,749.05,710.48,645.09,1,Moderate Activity,648.155,115.0698699341694,354.68499999999995,-498.98999999999995
3,24.09,51.67,117.28,554.76,485.18,715.65,669.336,589.35,1,Moderate Activity,614.879,100.9850149477634,336.02,-437.48
