Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
morning,18.87,57.54,138.71,567.48,442.82,829.75,686.96,616.4,low,8649,eco_mode,,Low Activity
afternoon,22.23,42.33,73.66,611.71,538.65,754.36,715.87,656.67,extremely low,5693,ventilation_only,very_bright,Moderate Activity
afternoon,22.63,42.06,80.73,,543.28,758.45,730.17,661.59,extremely low,5693,ventilation_only,,Low Activity
morning,18.41,48.09,72.04,585.49,582.68,776.92,,696.61,,1903,ventilation_only,,ModerateActivity
afternoon,23.07,41.94,83.11,611.08,524.46,750.4,,639.0,low,5693,ventilation_only,,Moderate Activity
afternoon,23.56,41.05,76.24,606.92,519.8,742.91,,641.83,low,5693,ventilation_only,,Low Activity
night,20.21,-27.19,232.47,576.42,415.67,704.71,659.49,579.72,medium,5172,cooling_active,very_bright,Low Activity
afternoon,22.86,42.91,79.15,611.64,513.26,740.63,,644.15,low,5693,heating_active,moderate,Moderate Activity
afternoon,23.16,42.55,80.66,611.45,513.19,853.79,707.05,640.39,,5693,eco_mode,very_bright,Moderate Activity
afternoon,23.26,42.58,81.21,609.15,521.08,743.52,703.92,633.05,low,5693,off,,Moderate Activity
evening,23.17,51.8,144.43,566.56,354.25,675.89,605.76,523.45,medium,3074,off,bright,Low Activity
afternoon,23.63,42.13,85.8,610.82,519.33,748.26,707.1,640.47,low,5693,heating_active,moderate,High Activity
afternoon,23.5,42.56,78.56,608.57,505.3,750.44,702.69,641.77,low,5693,heating_active,very_bright,Moderate Activity
afternoon,23.54,42.58,89.82,610.18,512.72,742.12,704.92,643.41,low,5693,maintenance_mode,dim,Low Activity
afternoon,23.66,42.47,91.39,607.27,492.51,738.78,703.79,620.15,low,5693,ventilation_only,very_bright,Moderate Activity
morning,16.5,46.84,84.5,608.59,558.21,772.68,740.22,687.05,low,1374,MAINTENANCE_MODE,dim,Moderate Activity
evening,23.03,43.75,90.25,609.92,478.24,740.92,695.61,610.96,low,5693,cooling_active,,Low Activity
evening,23.35,43.03,85.39,613.42,487.0,738.18,700.03,634.9,low,5693,ECO_MODE,moderate,Moderate Activity
night,20.42,55.25,140.16,567.33,441.44,706.97,657.51,581.01,,9184,Eco_Mode,very_bright,LowActivity
evening,23.65,42.7,93.58,,504.83,739.58,470.29,631.63,low,5693,maintenance_mode,,Moderate Activity
evening,23.77,42.75,91.41,599.54,503.53,743.59,701.8,626.29,low,5693,heating_active,very_bright,Moderate Activity
evening,23.52,43.25,88.69,603.7,496.31,747.5,702.3,630.52,low,5693,heating_active,bright,Moderate Activity
evening,23.49,184.55,91.69,609.43,503.74,815.9,699.9,630.76,low,5693,eco_mode,dim,Low Activity
night,20.44,55.18,108.07,597.21,438.53,708.26,635.63,563.89,medium,3856,cooling_active,very_bright,Low Activity
afternoon,292.51,55.53,109.12,550.42,504.62,732.1,684.12,626.7,medium,1458,ventilation_only,very_bright,Low Activity
morning,18.12,-24.4,116.34,585.49,496.58,747.27,698.56,619.98,low,1374,cooling_active,,Moderate Activity
evening,23.82,42.69,84.82,609.91,492.02,740.09,696.38,630.48,,5693,off,moderate,Moderate Activity
evening,23.49,43.42,93.22,607.43,504.06,747.21,696.33,621.1,low,5693,off,dim,Moderate Activity
afternoon,22.78,45.92,172.03,573.6,401.79,717.27,667.66,598.16,medium,7963,eco_mode,very_bright,Low Activity
evening,23.5,43.56,88.46,602.99,501.94,743.2,697.49,623.58,low,8374,maintenance_mode,very_bright,Moderate Activity
evening,23.31,44.3,99.03,605.69,505.63,738.96,701.8,631.61,low,8374,heating_active,very_bright,Moderate Activity
morning,19.41,53.95,87.99,551.98,533.92,736.56,661.01,597.37,medium,1458,ventilation_only,very_dim,Moderate Activity
afternoon,16.65,-28.95,63.36,619.41,625.49,890.81,762.3,695.32,extremely low,3418,ventilation_only,very_bright,Low Activity
evening,23.68,43.92,90.02,599.05,496.19,738.78,694.5,618.92,low,8374,off,,High Activity
evening,23.75,43.9,96.74,603.32,478.41,738.22,706.41,621.05,low,8374,ventilation_only,moderate,Moderate Activity
afternoon,22.29,53.76,110.68,545.62,503.63,725.44,670.71,597.38,medium,1458,eco_mode,very_bright,High Activity
evening,23.77,43.48,103.02,603.38,481.78,746.67,702.47,620.87,low,8374,ventilation_only,very_bright,Low Activity
evening,23.59,-32.52,104.22,603.82,494.3,736.44,696.15,622.0,low,8374,off,very_bright,Low Activity
evening,24.06,44.04,105.26,598.39,496.35,735.36,703.34,629.34,,8374,off,moderate,Moderate Activity
afternoon,23.22,50.71,119.72,564.93,411.36,706.15,649.02,567.72,medium,3074,eco_mode,bright,Low Activity
evening,24.63,43.08,116.66,599.54,473.74,742.02,697.73,632.16,low,8374,heating_active,very_bright,Moderate Activity
night,18.91,51.62,123.16,594.01,484.33,727.0,670.41,591.99,low,1374,heating_active,dim,Moderate Activity
evening,23.95,44.19,107.59,599.17,447.11,733.83,869.59,621.22,low,8374,maintenance_mode,bright,Moderate Activity
evening,21.37,50.88,116.62,586.24,469.77,705.09,668.3,558.61,low,4129,cooling_active,,Low Activity
evening,23.75,44.97,108.22,600.6,415.94,726.54,,580.33,low,8374,VENTILATION_ONLY,,Low Activity
night,21.14,54.02,119.14,547.25,441.09,706.49,,588.21,medium,9385,heating_active,,Low Activity
evening,24.7,-33.66,116.66,600.62,333.93,721.66,657.22,569.93,medium,8374,heating_active,very_bright,Low Activity
evening,20.31,49.77,112.17,583.72,450.62,712.94,854.3,606.88,medium,6431,heating_active,,High Activity
evening,24.87,42.41,108.45,599.88,338.14,719.19,902.78,572.15,,8374,ventilation_only,,Low Activity
evening,24.45,43.17,99.42,602.6,344.95,722.07,657.27,572.79,high,8374,cooling_active,bright,Moderate Activity
night,21.25,51.67,108.64,555.74,466.02,745.82,707.03,639.26,low,9241,off,very_bright,High Activity
evening,24.04,44.2,112.69,603.67,442.51,735.23,682.67,604.42,high,8374,off,very_bright,Low Activity
afternoon,21.44,45.68,124.94,584.12,490.36,739.98,,648.11,low,5820,eco_mode,dim,Moderate Activity
night,18.88,-41.66,118.47,590.46,462.08,722.37,663.4,605.06,high,8052,heating_active,,Low Activity
evening,23.2,48.06,100.48,564.46,459.47,733.74,,623.81,low,2847,ventilation_only,very_bright,Moderate Activity
evening,21.68,45.84,111.58,588.64,430.37,733.34,,637.17,low,5820,heating_active,very_bright,Moderate Activity
night,19.89,55.7,145.55,573.46,462.68,711.62,653.97,586.22,low,4507,eco_mode,,Low Activity
evening,23.83,50.23,128.69,557.73,460.47,712.31,659.61,597.1,low,9385,off,,Low Activity
evening,23.35,45.82,109.59,597.97,363.91,713.25,516.21,569.1,extremely high,8374,eco_mode,dim,Low Activity
morning,291.9,55.32,127.41,571.85,481.16,728.09,682.6,605.21,low,4507,ventilation_only,very_bright,Moderate Activity
evening,23.32,46.28,104.52,591.08,415.41,726.49,,601.63,,8374,maintenance_mode,,Low Activity
evening,23.28,46.32,108.31,596.52,440.63,728.71,683.62,585.56,extremely high,8374,ventilation_only,very_bright,LowActivity
evening,23.4,45.97,103.65,597.08,447.11,730.38,685.9,614.24,extremely high,8374,cooling_active,dim,Low Activity
afternoon,19.35,51.15,107.39,563.22,507.04,738.69,,644.82,low,2847,ventilation_only,bright,Low Activity
morning,18.67,-14.72,99.58,557.8,480.97,692.39,596.22,517.84,low,7058,maintenance_mode,very_bright,Low Activity
evening,22.84,47.0,108.29,598.27,454.8,561.11,,601.01,high,8374,OFF,very_bright,Moderate Activity
evening,23.58,50.32,109.73,551.08,462.77,734.2,,617.26,low,9241,Ventilation_only,bright,Low Activity
evening,22.81,46.91,108.8,600.02,458.13,730.07,677.52,610.29,high,8374,eco_mode,moderate,Low Activity
evening,22.44,47.11,111.24,596.93,457.4,730.55,,609.24,high,8374,heating_active,dim,Moderate Activity
evening,24.28,51.47,135.58,555.81,411.62,687.94,625.91,563.79,medium,4761,heating_active,,Low Activity
evening,22.53,46.76,106.28,593.49,458.14,737.68,695.22,627.26,high,8374,cooling_active,bright,High Activity
afternoon,291.4,52.2,103.08,599.28,482.48,735.06,693.68,613.64,low,2105,cooling_active,bright,High Activity
evening,22.3,47.22,107.05,599.67,459.71,735.21,689.13,611.8,medium,8374,Heating_Active,dim,Moderate Activity
afternoon,18.47,51.49,70.07,585.71,578.96,770.18,743.85,676.86,extremely low,1903,cooling_active,moderate,Moderate Activity
evening,22.1,48.28,226.03,600.56,464.99,731.57,,604.3,medium,8374,ventilation_only,very_dim,Low Activity
evening,21.93,48.62,107.61,601.47,467.93,729.92,818.11,608.21,medium,8374,ventilation_only,dim,Moderate Activity
night,20.61,-47.22,111.34,550.06,505.21,728.35,,619.03,low,6817,cooling_active,,High Activity
evening,23.82,53.56,123.83,545.08,446.65,697.73,,564.74,medium,8936,off,,Low Activity
evening,21.48,49.16,108.41,597.47,449.75,731.07,681.92,613.86,medium,8374,heating_active,very_bright,High Activity
night,20.91,55.97,107.39,604.7,422.89,721.65,888.18,604.38,high,7241,heating_active,very_bright,Low Activity
evening,22.99,51.95,192.64,555.48,337.93,675.19,587.82,524.16,medium,3074,heating_active,,Low Activity
evening,21.48,48.7,103.56,601.6,458.36,567.31,687.59,606.93,medium,8374,ventilation_only,bright,Moderate Activity
evening,21.42,48.48,105.78,601.64,467.91,731.23,679.13,609.35,medium,8374,heating_active,very_bright,High Activity
evening,21.69,48.0,100.92,599.5,445.39,730.78,,604.58,medium,8374,eco_mode,bright,High Activity
evening,21.65,48.08,104.3,598.51,460.98,727.71,683.65,607.15,medium,8374,cooling_active,very_bright,Moderate Activity
afternoon,289.71,-29.31,58.79,578.0,631.9,792.5,762.48,716.85,extremely low,9241,heating_active,,Moderate Activity
evening,294.74,47.84,103.41,,447.71,727.27,679.61,607.02,medium,8374,Off,bright,Low Activity
afternoon,22.03,45.88,82.02,595.02,501.84,747.97,701.68,649.65,extremely low,1826,off,bright,Moderate Activity
night,20.26,128.61,109.06,565.95,466.16,723.73,,615.75,low,2847,maintenance_mode,bright,Moderate Activity
night,20.81,49.62,99.99,598.62,460.14,725.06,,613.49,medium,8374,ECO_MODE,,High Activity
afternoon,22.02,49.51,103.6,580.48,477.12,721.28,,610.06,medium,7395,heating_active,moderate,High Activity
night,293.93,49.66,105.83,598.99,463.28,719.18,,593.63,medium,8374,maintenance_mode,very_bright,High Activity
afternoon,18.56,-44.43,93.22,583.15,506.62,742.05,,622.23,low,7395,ventilation_only,,ModerateActivity
night,20.88,128.0,109.13,601.33,462.93,721.17,683.53,601.64,medium,8374,maintenance_mode,bright,Moderate Activity
afternoon,292.08,43.88,72.77,613.13,548.64,774.42,743.52,679.93,low,5693,heating_active,moderate,Low Activity
morning,20.4,53.41,93.74,554.88,498.46,702.25,637.73,575.69,,1458,maintenance_mode,very_bright,Low Activity
evening,25.76,48.11,113.19,550.95,472.24,677.25,590.21,545.04,medium,6817,COOLING_ACTIVE,bright,Low Activity
evening,22.21,51.93,96.84,603.22,473.49,737.88,,608.71,low,7241,cooling_active,moderate,High Activity
afternoon,18.94,51.01,91.72,564.83,515.39,750.36,705.02,644.8,,2847,cooling_active,very_bright,Moderate Activity
night,20.69,49.31,106.38,598.78,465.56,732.07,,618.88,medium,8374,ventilation_only,very_bright,Moderate Activity
night,20.53,49.7,103.35,596.71,463.82,735.98,532.3,616.3,medium,8374,maintenance_mode,moderate,High Activity
night,20.77,48.97,105.03,600.13,469.52,738.12,686.43,612.08,medium,8374,VENTILATION_ONLY,bright,Moderate Activity
night,20.34,48.59,111.72,586.57,370.63,703.24,633.35,538.55,medium,3418,eco_mode,very_bright,Low Activity
afternoon,20.16,51.11,89.92,616.71,375.21,890.33,703.96,612.23,low,7241,eco_mode,bright,Moderate Activity
night,293.43,50.06,103.06,,468.42,730.63,699.24,605.27,medium,8374,eco_mode,bright,Moderate Activity
night,20.15,50.39,105.42,597.97,467.66,732.73,690.82,624.23,,8374,cooling_active,moderate,Moderate Activity
afternoon,21.11,44.18,78.38,567.82,533.94,753.72,721.14,657.54,,2586,eco_mode,bright,Moderate Activity
evening,24.57,43.66,136.26,581.47,445.44,703.88,,559.02,low,6847,heating_active,,Low Activity
night,19.53,52.39,111.46,593.86,459.96,712.45,,589.07,low,4129,off,dim,Low Activity
night,20.0,50.74,110.18,596.16,491.35,726.95,,619.55,medium,8374,eco_mode,,Moderate Activity
night,20.06,50.52,111.22,601.64,474.04,736.73,690.39,609.16,medium,8374,VENTILATION_ONLY,,Low Activity
afternoon,17.04,42.94,62.56,634.42,607.82,801.21,778.26,718.05,extremely low,8374,cooling_active,dim,Low Activity
night,20.16,50.06,109.04,594.91,470.18,732.41,692.63,619.42,medium,8374,cooling_active,,LowActivity
night,20.07,50.34,106.55,600.47,466.78,741.35,687.77,613.53,medium,8374,ventilation_only,bright,Low Activity
night,19.42,50.46,117.42,598.4,483.2,748.33,699.0,630.98,,8374,ventilation_only,very_bright,LowActivity
night,293.39,49.58,118.82,,485.57,738.36,696.07,619.77,,8374,eco_mode,very_bright,Moderate Activity
night,20.0,50.09,117.57,592.65,474.03,740.39,694.05,617.93,medium,8374,maintenance_mode,moderate,Low Activity
night,20.15,121.72,115.31,596.94,475.02,739.81,,624.78,medium,8374,maintenance_mode,,Low Activity
morning,20.39,58.31,122.12,544.38,483.56,724.2,676.89,605.09,low,8936,eco_mode,,Low Activity
night,19.96,50.39,112.36,597.75,485.19,822.5,688.87,615.18,,8374,OFF,very_bright,Moderate Activity
night,293.09,50.33,110.27,598.12,472.02,732.61,691.0,626.71,medium,8374,heating_active,,Moderate Activity
night,19.76,50.71,112.82,591.11,476.9,729.51,696.07,620.71,low,8374,COOLING_ACTIVE,very_bright,High Activity
night,19.64,51.02,4.21,596.04,490.47,740.58,699.38,600.14,low,8374,maintenance_mode,moderate,Moderate Activity
evening,21.23,49.11,112.84,595.1,401.24,723.36,684.71,612.87,medium,9658,off,very_bright,Moderate Activity
night,19.64,50.92,112.08,,494.52,740.38,,610.8,,8374,ventilation_only,very_bright,Moderate Activity
night,19.59,51.09,112.51,594.66,491.82,725.55,693.89,635.08,low,8374,eco_mode,bright,High Activity
afternoon,17.87,48.5,84.88,604.52,449.59,759.84,729.44,652.17,extremely low,2105,off,bright,Moderate Activity
morning,19.64,48.12,93.55,587.13,456.6,740.51,,640.29,,7395,off,,High Activity
night,19.42,51.23,112.27,600.42,469.95,742.52,693.11,624.31,low,8374,eco_mode,very_dim,Moderate Activity
night,19.66,50.72,111.1,598.85,472.79,853.9,696.43,607.66,low,8374,heating_active,bright,LowActivity
evening,24.24,51.92,119.15,552.08,476.51,719.33,,600.03,low,3592,heating_active,very_bright,Low Activity
night,19.59,50.72,109.53,594.24,471.38,734.56,700.21,613.22,low,8374,off,very_bright,Moderate Activity
morning,17.62,55.08,131.39,582.59,497.93,737.92,,617.74,low,7963,heating_active,very_bright,Moderate Activity
night,19.56,50.71,111.7,,485.13,736.98,691.28,623.44,low,8374,off,moderate,Moderate Activity
night,19.47,51.03,117.93,598.19,486.98,734.87,697.02,616.68,low,8374,heating_active,,High Activity
night,19.48,50.77,116.49,598.7,476.06,733.83,695.67,609.26,,8374,cooling_active,very_bright,Moderate Activity
afternoon,16.68,42.11,70.47,604.86,554.98,792.77,882.86,702.73,extremely low,3418,ventilation_only,,Moderate Activity
evening,23.57,46.6,100.83,596.52,457.51,724.58,682.05,617.24,,1482,eco_mode,very_bright,Low Activity
night,19.43,50.87,112.34,590.84,480.58,733.11,694.74,615.57,low,8374,off,very_bright,Moderate Activity
night,19.23,51.37,109.89,596.79,481.95,738.67,694.49,618.86,low,8374,heating_active,,Low_Activity
evening,23.6,51.59,112.03,537.84,490.18,716.48,678.37,601.81,low,1458,off,moderate,ModerateActivity
night,20.76,54.95,186.54,565.77,358.11,692.67,619.31,541.43,medium,3074,Cooling_active,,Low Activity
night,292.31,51.52,5.32,592.56,490.12,743.93,704.1,638.81,,8374,heating_active,dim,Moderate Activity
evening,23.63,51.3,151.14,563.27,405.42,684.85,,549.09,medium,5172,ventilation_only,very_dim,Low_Activity
night,19.19,51.47,107.28,600.21,481.51,741.28,,641.67,low,8374,off,dim,High Activity
morning,18.82,-22.33,78.18,620.43,581.0,780.64,747.79,680.58,,1482,Maintenance_mode,very_bright,Moderate Activity
night,19.01,51.82,113.8,597.64,475.8,741.66,689.38,629.73,low,8374,ventilation_only,very_bright,Low Activity
afternoon,20.05,49.79,109.05,584.31,437.92,712.58,,604.66,medium,6431,maintenance_mode,bright,Moderate Activity
night,20.79,-30.62,122.67,574.79,490.51,728.87,,616.83,low,4507,maintenance_mode,,Moderate Activity
night,292.38,51.18,117.14,603.31,492.02,750.58,714.28,625.09,low,8374,cooling_active,very_bright,Moderate Activity
night,19.22,51.11,111.08,596.2,476.02,749.17,706.98,628.49,low,8374,cooling_active,moderate,Low Activity
afternoon,296.05,45.85,184.11,568.54,381.45,711.96,,592.31,,7963,ventilation_only,bright,Low Activity
night,292.47,50.89,111.94,599.73,464.65,747.83,,626.56,low,8374,maintenance_mode,very_bright,Moderate Activity
morning,20.68,56.39,134.33,566.56,457.83,707.67,,581.16,low,4761,off,bright,Low Activity
afternoon,19.95,46.63,91.92,,455.21,720.46,,610.21,medium,6431,maintenance_mode,very_bright,Low Activity
afternoon,21.46,46.66,132.47,584.26,456.79,750.34,698.9,642.78,low,5820,cooling_active,very_bright,High Activity
morning,18.83,51.65,110.75,593.14,469.59,748.57,703.58,617.4,low,8374,maintenance_mode,very_bright,Low Activity
night,19.18,50.89,102.51,594.51,486.07,746.47,707.57,637.57,low,8374,cooling_active,very_bright,Low Activity
night,19.11,51.15,109.2,600.51,489.36,740.99,699.18,631.1,low,8374,maintenance_mode,moderate,High Activity
evening,23.35,46.64,100.66,,438.69,720.78,682.38,607.59,low,1482,heating_active,dim,Moderate Activity
night,20.25,50.79,114.84,591.06,432.22,731.52,691.17,596.93,medium,9658,maintenance_mode,dim,ModerateActivity
morning,18.97,51.57,114.92,599.21,487.02,742.87,,635.08,low,8374,heating_active,moderate,Low Activity
morning,292.08,51.6,107.16,598.72,469.43,740.53,705.17,630.41,low,8374,off,very_bright,Moderate Activity
morning,18.88,51.68,108.32,604.95,490.34,747.46,708.29,640.49,low,8374,cooling_active,,Moderate Activity
afternoon,18.38,45.77,73.61,606.99,558.92,830.01,,683.17,extremely low,1826,ventilation_only,very_bright,Low Activity
night,20.58,57.19,126.46,559.77,447.48,701.61,,577.84,low,4761,Eco_mode,very_bright,Low Activity
morning,19.04,51.29,111.74,,470.79,742.68,,637.79,low,8374,heating_active,moderate,Moderate Activity
afternoon,19.94,56.57,135.23,539.24,501.53,714.12,,598.55,medium,1458,ventilation_only,dim,Moderate Activity
afternoon,18.22,53.82,77.83,593.39,535.57,823.22,,663.19,,5172,maintenance_mode,bright,Low Activity
morning,19.42,57.25,136.44,561.53,405.87,690.47,640.27,571.01,medium,6528,eco_mode,moderate,Low Activity
morning,17.06,41.66,60.42,631.41,609.12,803.02,776.3,722.48,extremely low,8374,heating_active,,Moderate Activity
morning,18.86,51.59,110.84,599.85,483.56,750.08,700.74,638.2,low,8374,cooling_active,very_bright,Low Activity
morning,18.86,51.49,111.62,597.39,484.31,746.6,705.15,649.53,low,8374,off,moderate,High Activity
morning,18.83,-48.59,110.75,593.14,469.59,748.57,703.58,617.4,,8374,maintenance_mode,,Low Activity
evening,24.85,48.59,137.08,,445.28,710.84,673.79,606.36,medium,1826,eco_mode,bright,Low Activity
afternoon,18.48,45.45,68.93,607.4,576.37,775.0,,688.27,,1826,heating_active,bright,Moderate Activity
evening,22.3,48.12,164.84,567.42,420.39,703.05,652.52,567.31,medium,7963,heating_active,dim,Low Activity
morning,19.76,47.66,90.68,595.53,474.89,744.75,,636.25,,7395,cooling_active,very_bright,Low Activity
morning,18.62,52.22,108.46,603.16,480.22,740.64,,636.36,,8374,cooling_active,bright,Moderate Activity
night,21.22,52.39,126.23,571.5,421.22,710.08,660.5,588.35,low,1826,cooling_active,bright,Low Activity
morning,18.62,52.13,111.53,595.78,484.99,634.67,700.09,633.08,,8374,maintenance_mode,bright,Moderate Activity
morning,18.47,52.56,113.41,595.46,504.79,746.87,,626.81,low,8374,heating_active,,Low Activity
afternoon,17.91,47.16,77.38,606.68,481.8,771.78,736.47,673.05,extremely low,2105,heating_active,very_bright,Low Activity
morning,291.8,47.08,98.87,607.63,497.59,766.77,711.11,652.92,,8374,cooling_active,very_bright,High Activity
morning,18.48,41.16,82.24,616.64,515.97,782.05,746.13,684.97,low,8374,maintenance_mode,,Low Activity
evening,22.84,47.7,102.62,602.51,451.02,731.15,688.74,603.36,,1482,maintenance_mode,,Moderate Activity
morning,18.98,56.46,108.8,602.48,497.11,731.22,679.28,600.02,low,3856,COOLING_ACTIVE,very_bright,Moderate Activity
morning,17.9,39.69,61.03,624.61,561.74,892.25,768.17,712.03,low,8374,maintenance_mode,bright,Moderate Activity
morning,17.7,39.61,61.91,628.07,564.2,795.17,,713.92,,8374,eco_mode,bright,Moderate Activity
morning,17.58,39.9,60.7,625.77,555.72,800.27,770.85,723.79,extremely low,8374,OFF,bright,Moderate Activity
morning,17.46,40.04,67.97,629.78,575.92,795.58,,717.45,extremely low,8374,cooling_active,moderate,LowActivity
night,293.06,52.7,134.06,581.61,434.95,723.8,,609.48,low,6847,cooling_active,,ModerateActivity
afternoon,24.13,53.06,117.39,553.87,478.81,699.29,648.66,578.62,low,8936,off,very_bright,Low Activity
morning,17.37,44.26,60.77,621.14,602.6,800.02,,722.84,extremely low,5693,off,,Moderate Activity
morning,17.1,41.08,62.89,629.96,595.24,795.6,772.26,731.08,extremely low,8374,off,,Low Activity
morning,290.22,41.33,56.36,627.57,596.24,824.98,779.51,724.65,extremely low,8374,ventilation_only,moderate,Low Activity
morning,17.06,41.66,60.42,631.41,609.12,803.02,,722.48,,8374,heating_active,very_bright,Moderate Activity
evening,22.79,48.37,86.07,604.94,498.86,739.69,,609.66,low,3856,eco_mode,very_bright,Low_Activity
morning,19.18,54.97,96.92,576.68,474.95,728.35,694.45,620.32,low,6528,heating_active,moderate,Moderate Activity
evening,23.4,53.27,11.09,554.26,449.35,691.65,652.94,581.19,medium,5214,eco_mode,very_bright,Low_Activity
evening,23.54,50.53,103.77,540.0,425.3,719.67,656.63,588.67,medium,4703,cooling_active,,Low Activity
morning,18.47,44.2,74.9,617.94,556.77,777.18,489.23,690.51,extremely low,8374,cooling_active,dim,Moderate Activity
morning,18.87,43.7,76.75,,549.38,845.92,,674.17,,8374,Maintenance_Mode,very_bright,Low Activity
night,20.6,-37.42,130.71,562.18,470.21,702.89,653.97,581.19,low,4761,cooling_active,,Low Activity
morning,18.55,45.21,70.41,620.77,533.08,775.42,796.67,677.62,extremely low,8374,ventilation_only,very_bright,Low Activity
morning,19.57,56.21,112.23,552.44,510.42,724.5,695.23,621.45,low,1458,off,moderate,Low Activity
evening,24.13,46.88,100.8,602.82,459.83,712.83,674.18,583.7,low,9127,eco_mode,bright,High Activity
morning,19.09,44.86,77.79,617.76,532.67,764.49,742.31,655.58,extremely low,8374,heating_active,bright,Low Activity
morning,18.96,45.58,80.86,617.47,517.57,767.03,719.76,664.39,extremely low,8374,ventilation_only,very_bright,Low Activity
morning,18.33,47.02,84.12,613.45,528.93,771.45,737.4,668.29,extremely low,8374,Ventilation_Only,very_bright,Moderate Activity
evening,296.76,51.65,127.01,561.92,419.24,888.56,577.78,509.53,,1903,ventilation_only,moderate,Low Activity
morning,18.79,46.57,77.49,607.58,519.45,769.43,,661.38,extremely low,8374,cooling_active,very_bright,Moderate Activity
morning,18.12,48.12,87.88,617.29,505.14,762.88,724.14,658.25,extremely low,8374,off,dim,Moderate Activity
morning,18.12,48.39,92.76,612.16,500.19,764.41,561.17,658.95,extremely low,8374,off,very_dim,Moderate Activity
night,18.88,55.94,110.03,601.34,476.09,738.75,,638.22,low,9127,cooling_active,bright,Moderate Activity
morning,18.36,48.48,92.81,605.89,514.02,766.24,,663.8,extremely low,8374,heating_active,very_dim,Low Activity
morning,291.29,46.89,89.22,609.07,514.09,770.91,,671.18,extremely low,8374,cooling_active,bright,Moderate Activity
morning,18.29,44.55,78.02,616.13,558.26,788.29,743.97,697.32,extremely low,8374,eco_mode,very_bright,Moderate Activity
morning,18.27,43.49,75.77,621.85,568.69,789.25,749.25,699.74,extremely low,8374,eco_mode,very_bright,Low_Activity
morning,18.25,-20.71,70.24,623.09,579.96,780.3,754.49,709.64,extremely low,8374,ventilation_only,bright,ModerateActivity
afternoon,23.08,53.09,107.37,,470.41,718.44,,599.82,low,3592,cooling_active,very_dim,Low Activity
morning,19.98,54.64,228.57,550.09,508.42,697.08,,566.6,medium,1458,ventilation_only,dim,Low Activity
evening,21.0,49.35,115.19,586.01,424.12,717.45,686.84,607.59,,9658,maintenance_mode,moderate,Moderate Activity
afternoon,20.58,44.4,70.96,562.55,506.87,759.94,,655.77,low,2586,ventilation_only,bright,ModerateActivity
night,20.66,52.92,125.89,568.02,375.16,688.98,657.95,555.13,medium,7395,VENTILATION_ONLY,bright,Moderate Activity
morning,290.61,-22.98,61.2,626.35,591.06,803.31,757.35,725.05,extremely low,8374,ventilation_only,moderate,Moderate Activity
evening,22.38,131.08,106.44,548.29,437.8,580.15,656.7,595.95,medium,5214,cooling_active,,Low Activity
morning,17.44,41.43,64.36,624.79,584.93,802.54,772.26,712.26,,8374,ventilation_only,moderate,Moderate Activity
morning,17.45,41.81,58.16,623.64,595.46,796.02,,727.43,extremely low,8374,cooling_active,bright,Moderate Activity
morning,17.35,42.07,62.04,631.49,609.67,800.81,771.7,727.28,extremely low,8374,heating_active,bright,Moderate Activity
morning,17.32,41.81,61.84,630.6,604.75,803.47,,711.1,extremely low,8374,COOLING_ACTIVE,,Low Activity
night,21.25,51.6,105.74,554.36,459.14,745.58,705.12,632.45,low,9241,ventilation_only,moderate,Low Activity
night,17.47,53.39,121.33,,485.24,753.27,717.46,653.84,,5820,ventilation_only,very_bright,Moderate Activity
afternoon,17.46,41.31,59.33,626.66,619.72,796.47,,722.59,extremely low,8374,heating_active,bright,Moderate Activity
afternoon,17.34,41.69,4.46,620.74,612.0,801.24,764.67,721.67,extremely low,8374,heating_active,very_dim,Moderate Activity
night,19.91,48.15,113.04,588.73,458.61,735.14,678.35,620.15,low,6431,ventilation_only,,High Activity
evening,23.43,45.77,106.5,601.34,373.33,721.9,,568.67,extremely high,8374,ventilation_only,,Low Activity
afternoon,17.23,41.66,56.16,631.08,619.7,798.41,769.08,728.46,,8374,heating_active,very_bright,Low Activity
night,20.21,58.77,128.41,549.31,489.44,721.25,687.51,610.6,low,8936,Ventilation_Only,,Low Activity
evening,23.38,49.8,141.36,589.26,434.59,704.95,,567.09,medium,1482,ventilation_only,,Low Activity
afternoon,17.22,42.15,59.44,,596.77,800.11,762.6,718.77,extremely low,8374,cooling_active,,Low Activity
afternoon,17.17,42.34,57.03,630.47,605.64,799.41,,719.74,extremely low,8374,heating_active,very_bright,Low Activity
afternoon,17.14,42.61,56.35,633.35,615.99,792.5,764.95,711.05,extremely low,8374,ventilation_only,,Low Activity
evening,22.29,51.33,123.66,544.29,402.86,878.56,583.81,493.94,extremely high,7058,cooling_active,,Low Activity
night,21.82,57.31,138.45,540.7,454.11,703.35,661.92,592.06,low,8936,heating_active,moderate,Low Activity
afternoon,16.9,43.75,60.49,632.64,590.19,796.68,768.94,705.93,extremely low,8374,maintenance_mode,bright,Low Activity
evening,23.68,-14.16,117.38,586.24,422.1,716.38,680.52,608.09,medium,9658,cooling_active,,Low Activity
