Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level
1,17.37,44.26,60.77,621.14,602.6,800.02,765.436,722.84,0,Moderate Activity
1,17.1,41.08,62.89,629.96,595.24,795.6,772.26,731.08,0,Low Activity
3,22.79,48.37,86.07,604.94,498.86,739.69,681.7299999999999,609.66,1,Low Activity
1,19.18,54.97,96.92,576.68,474.95,728.35,694.45,620.32,1,Moderate Activity
3,23.54,50.53,103.77,540.0,425.3,719.67,656.63,588.67,2,Low Activity
1,18.47,44.2,74.9,617.94,556.77,777.18,489.23,690.51,0,Moderate Activity
1,18.55,45.21,70.41,620.77,533.08,775.42,796.67,677.62,0,Low Activity
1,19.57,56.21,112.23,552.44,510.42,724.5,695.23,621.45,1,Low Activity
3,24.13,46.88,100.8,602.82,459.83,712.83,674.18,583.7,1,High Activity
1,19.09,44.86,77.79,617.76,532.67,764.49,742.31,655.58,0,Low Activity
1,18.96,45.58,80.86,617.47,517.57,767.03,719.76,664.39,0,Low Activity
1,18.33,47.02,84.12,613.45,528.93,771.45,737.4,668.29,0,Moderate Activity
1,18.79,46.57,77.49,607.58,519.45,769.43,759.192,661.38,0,Moderate Activity
1,18.12,48.12,87.88,617.29,505.14,762.88,724.14,658.25,0,Moderate Activity
1,18.12,48.39,92.76,612.16,500.19,764.41,561.17,658.95,0,Moderate Activity
0,18.88,55.94,110.03,601.34,476.09,738.75,698.222,638.22,1,Moderate Activity
1,18.36,48.48,92.81,605.89,514.02,766.24,723.03,663.8,0,Low Activity
1,18.29,44.55,78.02,616.13,558.26,788.29,743.97,697.32,0,Moderate Activity
1,18.27,43.49,75.77,621.85,568.69,789.25,749.25,699.74,0,Low Activity
2,23.08,53.09,107.37,578.93,470.41,718.44,670.0360000000001,599.82,1,Low Activity
2,20.58,44.4,70.96,562.55,506.87,759.94,714.6479999999999,655.77,1,Moderate Activity
0,20.66,52.92,125.89,568.02,375.16,688.98,657.95,555.13,2,Moderate Activity
1,17.45,41.81,58.16,623.64,595.46,796.02,765.6940000000001,727.43,0,Moderate Activity
1,17.35,42.07,62.04,631.49,609.67,800.81,771.7,727.28,0,Moderate Activity
1,17.32,41.81,61.84,630.6,604.75,803.47,793.156,711.1,0,Low Activity
0,21.25,51.6,105.74,554.36,459.14,745.58,705.12,632.45,1,Low Activity
2,17.46,41.31,59.33,626.66,619.72,796.47,765.318,722.59,0,Moderate Activity
0,19.91,48.15,113.04,588.73,458.61,735.14,678.35,620.15,1,High Activity
3,23.43,45.77,106.5,601.34,373.33,721.9,657.99,568.67,4,Low Activity
0,20.21,58.77,128.41,549.31,489.44,721.25,687.51,610.6,1,Low Activity
3,23.38,49.8,141.36,589.26,434.59,704.95,650.288,567.09,2,Low Activity
2,17.22,42.15,59.44,578.93,596.77,800.11,762.6,718.77,0,Low Activity
2,17.17,42.34,57.03,630.47,605.64,799.41,769.522,719.74,0,Low Activity
2,17.14,42.61,56.35,633.35,615.99,792.5,764.95,711.05,0,Low Activity
3,22.29,51.33,123.66,544.29,402.86,878.56,583.81,493.94,4,Low Activity
0,21.82,57.31,138.45,540.7,454.11,703.35,661.92,592.06,1,Low Activity
2,16.9,43.75,60.49,632.64,590.19,796.68,768.94,705.93,0,Low Activity
1,20.08,58.94,129.35,547.57,471.76,724.47,688.33,619.4,1,Low Activity
2,17.17,45.86,69.54,625.26,577.28,784.99,749.376,698.75,0,Moderate Activity
2,17.09,46.48,63.26,614.01,566.23,784.5,846.38,700.94,0,Low Activity
3,20.09,51.41,107.69,587.92,445.42,822.77,670.27,579.41,2,Low Activity
2,17.14,46.99,68.63,624.19,559.19,777.52,753.96,679.24,0,Moderate Activity
0,19.63,57.04,125.21,564.92,398.54,696.17,873.66,561.5,2,Low Activity
0,20.55,58.37,123.83,549.97,458.31,713.41,690.19,609.27,1,Low Activity
2,17.23,47.45,73.14,623.48,531.26,778.01,739.53,680.54,0,Moderate Activity
1,18.76,56.51,125.83,575.67,432.46,717.79,675.87,604.68,2,Low Activity
0,21.24,52.22,128.64,568.67,408.14,717.42,660.86,598.73,1,Low Activity
2,17.53,47.55,101.01,602.11,347.33,726.99,482.28,631.4,1,Low Activity
2,17.89,47.19,74.47,578.93,496.55,770.2,687.586,660.76,0,Moderate Activity
0,19.65,56.91,136.6,562.47,390.58,696.25,648.85,570.76,2,Low Activity
2,17.89,47.52,75.34,611.53,495.62,775.58,730.852,664.79,0,Moderate Activity
1,18.41,56.98,106.79,604.4,497.17,741.77,706.36,632.78,1,Low Activity
2,18.04,47.14,78.97,613.59,486.01,775.43,722.67,672.24,0,Moderate Activity
2,17.78,48.03,77.96,620.22,495.05,767.73,729.29,672.94,0,Low Activity
2,17.59,48.64,80.02,621.18,492.49,768.49,729.82,667.84,0,Low Activity
2,19.21,54.09,98.68,586.99,473.39,731.99,680.62,612.89,1,Moderate Activity
2,17.76,48.41,87.43,614.41,463.29,765.05,738.12,652.53,0,Moderate Activity
2,17.67,49.14,88.04,578.93,470.34,765.81,721.242,648.91,0,Moderate Activity
3,24.27,45.18,117.58,593.43,394.92,710.15,659.08,583.78,2,Low Activity
2,17.9,48.89,89.68,607.43,438.06,765.7,718.6279999999999,638.88,0,Moderate Activity
2,17.82,49.24,87.3,608.42,430.78,760.17,720.83,646.09,0,Moderate Activity
2,17.73,49.36,90.76,612.51,431.84,767.88,726.39,651.71,0,Moderate Activity
2,17.76,49.34,93.91,603.61,433.37,764.74,725.88,648.92,0,Moderate Activity
2,22.38,52.05,110.97,546.16,464.22,693.3,621.94,558.49,4,Low Activity
2,17.37,41.38,63.18,631.29,596.79,796.76,775.75,711.29,0,Moderate Activity
1,16.02,45.05,73.42,612.24,578.65,778.34,743.518,675.65,0,Moderate Activity
2,17.65,49.84,92.66,615.22,427.97,765.65,716.07,646.38,0,Low Activity
1,17.02,53.97,115.2,587.34,500.63,760.89,722.98,671.53,0,High Activity
2,17.45,50.53,93.77,578.93,446.18,762.16,719.7,649.95,0,High Activity
2,17.76,50.14,100.54,611.91,478.86,777.97,725.9379999999999,654.06,1,Moderate Activity
2,22.29,50.8,119.57,566.61,380.0,693.15,637.67,561.52,2,Low Activity
2,18.43,46.26,81.34,614.31,539.93,765.77,721.34,660.5,1,Moderate Activity
2,17.98,49.93,87.25,611.93,407.21,752.31,705.3979999999999,634.7,1,Low Activity
2,18.24,49.73,96.29,606.18,441.64,752.14,713.7,650.73,1,High Activity
0,19.38,48.09,117.08,578.93,465.0,720.31,679.0640000000001,612.67,2,High Activity
3,24.44,50.09,138.92,557.81,423.65,685.26,605.36,556.57,2,Low Activity
0,21.1,50.61,107.37,560.58,436.61,708.04,848.83,590.97,2,Low Activity
2,20.16,46.34,103.18,598.09,516.98,757.43,471.25,656.51,1,Moderate Activity
2,20.45,46.23,97.83,609.37,484.8,758.89,724.0,648.22,1,Low Activity
2,20.98,45.4,98.96,606.59,498.58,755.51,720.1,665.96,1,Moderate Activity
2,21.49,44.59,97.55,599.01,512.67,760.23,721.25,669.13,1,Moderate Activity
3,21.81,44.23,95.31,604.32,507.92,757.22,725.95,665.81,1,Moderate Activity
1,19.88,48.96,86.94,614.7,514.46,752.81,728.19,655.74,0,Moderate Activity
3,21.97,44.56,105.19,604.18,488.0,749.05,710.48,645.09,1,Moderate Activity
3,24.09,51.67,117.28,554.76,485.18,715.65,669.336,589.35,1,Moderate Activity
2,21.23,49.57,109.69,595.19,499.47,749.48,693.41,633.37,1,Low Activity
1,19.36,55.35,123.44,597.05,486.54,731.76,701.32,607.32,1,Moderate Activity
3,23.16,43.15,103.63,605.33,498.57,751.74,701.6,648.05,1,Moderate Activity
3,23.56,52.06,123.96,558.88,483.16,705.76,640.086,574.43,2,High Activity
3,23.07,43.53,109.23,597.96,481.81,746.6,700.33,653.67,1,Moderate Activity
2,19.88,46.56,92.83,597.82,447.67,723.09,681.31,605.25,2,Moderate Activity
3,23.16,43.69,98.06,605.31,482.63,742.44,717.49,641.54,1,Low Activity
3,23.12,43.86,104.76,599.03,484.55,752.34,706.09,641.65,1,Moderate Activity
3,23.17,43.91,102.16,605.1,490.62,750.75,703.11,633.13,1,Moderate Activity
3,23.55,43.27,109.13,599.78,493.37,745.04,730.142,640.71,1,Moderate Activity
3,23.72,42.99,102.93,599.35,494.19,744.03,708.01,638.21,1,Moderate Activity
3,24.15,42.18,105.99,593.04,476.56,748.81,704.128,638.11,1,High Activity
1,17.8,51.52,112.44,590.42,446.08,745.86,677.66,600.81,1,Moderate Activity
3,24.18,41.96,110.29,578.93,476.07,751.88,706.15,637.59,1,Low Activity
3,24.15,42.09,110.92,596.13,473.69,735.91,702.23,652.1,1,Low Activity
3,24.22,42.06,115.43,596.5,476.21,743.06,692.45,640.9,1,Low Activity
3,23.66,43.69,108.74,598.04,482.76,749.68,700.1,639.89,1,High Activity
3,23.6,44.03,106.91,602.87,480.53,745.42,699.3900000000001,630.63,1,Moderate Activity
2,17.93,46.55,95.97,594.96,480.91,737.44,697.862,620.03,2,Low Activity
3,23.49,44.3,110.65,596.05,471.98,734.14,687.394,627.64,1,High Activity
3,21.92,53.46,150.94,558.17,347.53,687.03,663.6220000000001,539.93,2,Low Activity
3,23.61,43.97,109.89,594.86,468.71,740.54,682.99,621.97,1,Low Activity
3,23.82,43.62,117.04,578.93,466.46,737.07,698.98,637.83,1,Moderate Activity
3,23.91,43.64,112.54,592.87,481.75,732.55,696.11,631.21,1,High Activity
3,24.86,42.15,112.55,597.8,464.72,737.14,707.38,631.13,1,Low Activity
1,15.95,47.15,77.05,578.93,532.7,756.33,714.58,619.68,0,Low Activity
3,23.54,44.36,124.89,592.95,444.0,725.08,691.84,603.08,1,Moderate Activity
0,21.55,52.76,128.54,574.53,444.44,714.62,668.06,590.16,1,Low Activity
3,23.96,43.81,111.57,596.25,479.89,732.79,691.18,624.98,1,Moderate Activity
3,22.92,43.65,128.71,572.49,477.89,712.58,710.812,598.39,2,Low Activity
3,23.65,44.39,113.61,592.08,471.92,733.57,697.514,631.31,1,Moderate Activity
3,23.43,44.64,112.46,593.07,435.12,736.12,695.76,617.31,1,High Activity
0,19.23,52.8,118.78,589.4,474.89,714.09,663.884,583.52,1,Moderate Activity
3,23.55,44.31,114.32,595.11,407.0,722.4,690.7300000000001,618.63,1,High Activity
3,23.56,44.31,113.71,591.28,422.42,725.96,680.76,605.95,1,Moderate Activity
3,23.4,44.52,116.97,593.88,418.01,723.46,631.452,602.55,1,Low Activity
3,23.05,45.39,116.04,593.42,423.12,728.18,683.03,615.19,1,High Activity
3,23.78,51.7,106.96,552.76,430.81,590.92,661.12,599.89,2,Low Activity
2,15.05,45.28,70.14,604.19,567.13,782.75,746.142,687.95,0,Moderate Activity
3,22.98,45.12,115.47,601.52,426.55,735.87,691.3879999999999,614.43,1,High Activity
1,15.96,41.36,77.66,601.96,557.54,779.36,754.21,703.37,1,Low Activity
3,22.88,45.27,116.29,597.18,448.09,741.32,694.96,619.36,2,Moderate Activity
3,22.58,45.85,109.58,599.19,444.4,727.9,683.42,614.81,2,Moderate Activity
3,22.46,45.96,110.16,598.45,441.24,738.7,684.97,621.59,2,Moderate Activity
0,19.11,47.16,113.58,587.06,449.12,716.68,669.25,597.36,3,Moderate Activity
3,22.35,46.2,119.67,594.28,443.26,736.08,686.79,626.59,2,Moderate Activity
3,23.36,46.48,121.67,581.63,476.27,711.24,632.7679999999999,586.84,1,Moderate Activity
3,21.96,47.16,106.53,596.73,433.78,736.72,682.63,617.67,2,Moderate Activity
3,21.94,47.13,112.38,597.35,436.42,730.81,694.14,611.65,2,Moderate Activity
2,18.21,53.75,82.29,594.6,524.74,748.91,705.076,636.71,1,Moderate Activity
3,22.02,46.48,104.16,607.2,451.44,729.3,686.42,621.28,3,High Activity
3,21.92,46.6,108.74,604.0,453.71,735.06,685.83,637.47,3,Moderate Activity
3,21.79,46.75,109.12,597.14,442.03,734.69,688.0379999999999,626.8,3,High Activity
0,18.47,51.35,126.91,586.61,480.24,750.03,631.8639999999999,658.57,1,Moderate Activity
0,21.67,46.53,109.17,595.09,453.05,733.93,690.208,622.99,3,Low Activity
0,21.54,46.97,111.49,596.68,450.92,882.31,651.874,625.0,3,High Activity
0,21.55,47.28,108.94,598.58,440.88,733.55,693.7059999999999,623.69,3,Low Activity
3,23.74,44.89,110.93,592.43,335.39,723.12,662.32,562.32,4,Low Activity
0,21.23,47.8,115.81,591.48,440.51,737.71,688.54,630.51,3,Moderate Activity
0,21.3,47.24,110.59,601.75,443.38,732.65,698.32,635.49,3,Low Activity
0,21.2,47.66,111.12,596.66,459.07,733.33,697.26,617.84,3,Low Activity
2,19.77,55.03,107.39,568.74,361.57,716.14,666.87,599.46,1,Low Activity
3,24.2,48.5,133.83,570.43,432.32,698.73,886.81,581.6,2,Low Activity
1,18.72,50.7,86.01,584.87,520.8,761.91,726.25,674.06,1,Low Activity
1,18.54,56.91,121.09,569.31,429.32,715.74,668.19,597.86,2,High Activity
0,20.98,47.96,110.99,578.93,443.82,730.42,722.7819999999999,630.16,2,High Activity
3,23.94,51.44,124.85,554.42,411.87,681.48,625.55,551.99,2,Low Activity
0,20.79,48.36,118.44,598.94,470.66,738.84,686.002,607.36,2,High Activity
0,20.87,48.14,115.13,593.67,461.3,739.5,860.78,628.78,2,Moderate Activity
0,20.91,47.97,114.9,605.37,455.14,739.01,693.866,612.05,2,Moderate Activity
2,23.3,51.05,113.45,544.14,482.51,717.37,678.244,610.94,2,Low Activity
0,20.84,47.89,116.3,593.55,457.71,733.01,696.57,622.78,2,Low Activity
0,20.65,48.21,118.16,597.89,459.77,737.39,686.986,622.54,2,Moderate Activity
0,20.82,47.91,114.11,599.58,455.55,738.45,688.92,614.79,2,High Activity
0,20.64,48.14,120.75,597.49,460.25,730.99,697.89,623.4,2,Moderate Activity
0,20.64,48.2,120.06,599.0,458.78,732.92,643.15,608.74,2,High Activity
0,20.5,48.36,121.12,578.93,460.07,734.4,680.6,615.59,2,Low Activity
0,20.3,48.67,115.36,592.22,462.11,737.51,697.53,613.68,1,High Activity
0,20.22,49.01,125.32,595.9,464.69,729.73,689.97,605.1,1,High Activity
0,20.16,49.0,122.66,591.11,463.3,733.48,700.26,621.61,1,Moderate Activity
1,19.25,48.86,81.13,616.88,530.37,775.97,851.0,679.0,1,Moderate Activity
3,22.19,50.09,192.27,558.89,431.6,699.75,660.16,577.42,2,Low Activity
0,20.16,48.9,116.53,596.09,452.6,735.8,731.008,623.85,1,Moderate Activity
1,19.69,54.64,121.81,554.51,486.82,699.47,638.67,573.77,2,Low Activity
2,15.49,47.08,79.07,603.29,544.04,763.62,722.906,652.5,1,Moderate Activity
1,18.58,45.77,74.73,615.17,428.11,769.68,719.35,626.44,0,Moderate Activity
0,20.08,48.86,116.49,601.4,466.48,736.98,802.27,622.48,1,Moderate Activity
1,20.2,56.43,131.72,560.86,428.24,710.95,668.94,585.67,2,Low Activity
0,19.89,49.29,113.97,602.41,463.61,737.11,687.47,623.39,1,Moderate Activity
0,19.77,49.6,114.38,595.08,460.45,733.55,516.84,625.87,1,Moderate Activity
3,22.55,49.2,108.91,564.77,438.03,729.35,685.34,636.95,1,Moderate Activity
0,22.27,51.59,122.96,571.66,432.63,710.2,682.94,594.09,1,Low Activity
0,19.37,50.53,116.35,599.46,467.05,731.26,705.56,627.64,1,High Activity
0,19.39,50.41,115.65,603.06,458.85,733.35,688.21,617.34,1,Moderate Activity
0,19.22,50.94,117.63,593.29,456.89,740.62,690.96,625.11,1,Low Activity
0,21.21,52.47,127.07,570.0,369.27,868.93,649.48,547.71,3,Low Activity
0,19.34,50.45,113.52,578.93,462.55,740.41,702.44,622.12,1,Low Activity
0,19.53,49.62,109.17,591.51,453.27,735.22,683.01,617.43,1,Moderate Activity
0,19.39,50.05,110.99,603.09,441.35,732.73,691.318,616.72,1,High Activity
0,19.28,50.39,109.45,598.19,445.72,729.76,695.11,610.34,1,Moderate Activity
2,20.8,51.06,94.31,577.11,422.66,719.71,656.7,600.44,2,Moderate Activity
2,17.9,48.25,87.18,602.49,489.99,760.64,716.47,643.49,0,Low Activity
3,20.88,47.91,112.84,588.11,423.47,737.69,696.5,622.45,1,Moderate Activity
0,19.06,51.01,115.52,597.45,463.75,737.42,735.1360000000001,625.42,1,High Activity
0,19.05,51.05,113.04,599.41,458.8,737.67,688.25,619.5,1,High Activity
0,18.85,51.44,112.03,597.43,457.11,736.98,665.8820000000001,622.51,1,Low Activity
1,18.92,51.33,112.88,595.98,462.7,741.58,686.96,622.77,1,Moderate Activity
1,19.08,50.87,116.21,590.32,450.5,738.42,699.89,617.46,1,Low Activity
1,19.21,50.39,114.34,594.78,429.8,736.76,696.18,621.66,1,Moderate Activity
0,20.67,51.83,109.05,578.93,494.89,748.61,693.68,640.1,1,High Activity
1,18.9,51.07,110.16,603.43,435.41,736.05,695.32,619.77,1,Moderate Activity
3,23.55,49.22,118.63,578.93,406.47,717.52,683.44,582.92,2,Low Activity
1,18.92,50.89,116.38,593.25,441.18,738.29,693.89,628.57,1,Moderate Activity
1,19.01,50.72,117.55,600.55,427.57,738.25,700.05,634.45,1,Low Activity
1,18.96,50.71,114.19,597.59,448.23,738.44,699.99,624.08,1,Low Activity
1,18.9,50.98,112.17,578.93,450.61,732.22,699.85,627.03,1,High Activity
1,18.67,51.48,117.45,598.4,453.3,740.02,457.89,633.1,1,Low Activity
0,21.07,56.02,128.95,578.93,444.44,697.6,669.06,597.15,1,Low Activity
1,18.69,51.5,113.25,600.78,443.55,744.72,691.12,625.98,1,Moderate Activity
1,18.8,51.18,112.38,601.01,452.61,736.94,832.95,631.01,1,High Activity
1,18.8,51.11,114.7,597.64,441.99,748.6,703.5419999999999,629.26,1,High Activity
3,24.02,51.04,171.48,548.55,443.63,701.19,840.89,596.93,1,Low Activity
1,18.63,51.46,119.26,596.02,445.7,737.13,662.0840000000001,628.03,1,High Activity
1,18.0,45.61,89.69,597.07,472.74,766.15,730.02,671.99,1,Low Activity
1,19.09,50.31,113.21,595.15,450.81,736.07,726.304,627.57,1,Low Activity
1,19.17,50.23,120.55,591.16,424.72,735.42,691.75,628.84,1,Moderate Activity
1,18.78,48.01,103.65,605.29,440.77,746.54,694.1,618.96,1,Moderate Activity
1,19.01,44.21,90.66,578.93,459.52,753.45,705.98,638.15,1,Moderate Activity
2,19.29,53.75,88.39,574.96,463.86,726.64,689.85,612.63,1,Moderate Activity
1,18.68,42.57,78.51,621.55,448.91,764.9,713.92,650.51,1,Low Activity
1,18.2,45.33,79.79,608.04,482.93,756.7,709.83,638.47,1,High Activity
1,18.18,43.11,74.8,578.93,488.81,777.32,720.91,659.42,1,Moderate Activity
1,18.13,41.81,79.8,620.52,523.88,782.69,462.54,687.17,1,Low Activity
3,22.32,45.63,111.83,591.79,413.99,740.27,687.4,623.31,1,Low Activity
1,17.7,41.73,63.26,623.69,541.35,789.44,757.92,703.53,1,Moderate Activity
1,17.59,41.96,69.87,624.62,552.25,794.16,756.88,694.44,1,Moderate Activity
3,25.33,45.67,104.97,600.19,419.76,725.7,662.77,599.68,2,Low Activity
1,17.18,42.5,62.04,622.59,565.36,803.8,766.21,697.57,0,Moderate Activity
1,17.07,43.29,59.59,622.11,574.11,799.15,758.66,711.77,0,Moderate Activity
1,17.34,44.64,67.11,578.93,505.14,778.37,747.02,675.47,0,Moderate Activity
1,16.91,48.16,85.95,607.8,523.75,769.38,733.25,685.38,0,Low Activity
1,18.25,44.69,69.21,617.36,452.81,764.99,736.59,664.41,0,Low Activity
1,17.93,45.94,77.06,622.65,483.36,774.45,734.07,660.84,0,Moderate Activity
1,18.78,44.93,72.92,620.33,456.55,769.16,728.56,650.22,0,Low Activity
1,18.38,51.28,79.65,596.15,563.59,764.88,731.08,656.23,0,Moderate Activity
3,24.18,50.84,142.13,555.83,426.21,659.53,559.016,511.78,3,Low Activity
1,19.24,45.34,82.35,578.93,413.34,752.22,706.88,630.93,0,Moderate Activity
1,19.1,45.78,80.59,613.37,426.75,756.26,712.45,638.89,0,Moderate Activity
1,19.78,45.06,79.35,616.83,418.12,754.02,706.95,639.85,0,Moderate Activity
1,19.3,45.99,84.91,615.4,411.27,761.97,716.18,640.23,1,High Activity
1,19.08,56.27,110.84,578.93,484.39,728.64,685.7,599.62,1,Low Activity
1,19.99,45.73,96.97,606.1,409.21,746.83,705.01,616.74,1,Low Activity
1,19.62,46.54,88.87,603.52,410.89,748.2,708.01,632.23,1,Moderate Activity
1,19.51,47.0,95.72,604.03,372.96,744.21,690.65,615.32,1,High Activity
1,19.39,47.29,101.79,596.16,398.88,749.81,714.35,623.6,1,High Activity
1,19.16,47.97,99.08,604.0,431.18,747.7,727.78,619.8,1,Low Activity
3,22.89,54.84,131.83,561.71,400.44,822.59,629.46,550.68,2,Low Activity
1,18.25,44.18,75.52,609.64,536.98,786.69,746.7719999999999,680.91,1,Moderate Activity
2,19.2,52.37,88.58,567.97,523.21,749.55,717.04,663.83,1,Low Activity
1,17.87,43.78,72.31,621.37,542.33,792.67,759.74,696.55,0,Low Activity
1,17.08,50.86,121.71,585.07,501.48,737.36,713.67,641.09,1,Low Activity
0,21.58,57.55,128.65,542.72,460.06,701.97,658.67,598.79,1,Low Activity
2,18.14,42.79,63.06,621.09,561.14,838.16,846.46,686.27,0,Moderate Activity
2,21.46,46.79,187.74,588.63,463.51,739.77,689.78,637.07,1,Moderate Activity
2,17.98,41.83,67.89,622.09,514.35,784.84,803.29,688.41,0,Moderate Activity
2,18.08,41.92,65.72,629.0,486.27,793.78,753.14,678.64,0,Moderate Activity
2,18.09,41.84,58.4,624.38,475.0,784.75,756.59,683.81,0,Moderate Activity
2,17.93,42.13,59.97,618.6,512.61,786.77,765.52,696.83,0,Low Activity
0,19.89,49.29,113.97,602.41,463.61,737.11,731.042,623.39,1,Moderate Activity
2,17.91,42.11,60.19,624.79,589.57,797.12,766.06,709.98,0,Low Activity
2,17.82,42.27,58.61,620.74,530.98,789.37,763.96,694.92,0,Moderate Activity
2,17.83,42.52,65.37,628.26,498.35,783.66,751.1,691.04,0,Low Activity
2,19.68,41.91,63.78,628.23,573.13,783.17,702.1099999999999,683.87,0,Moderate Activity
2,18.2,42.3,59.91,622.39,462.14,785.6,753.75,698.55,0,Moderate Activity
2,17.91,43.77,63.59,623.35,477.22,783.98,738.254,686.41,0,Moderate Activity
2,18.91,42.84,63.76,618.36,521.53,783.89,742.88,682.05,0,Moderate Activity
2,19.3,43.07,68.21,619.42,508.22,760.22,719.052,680.18,0,Moderate Activity
1,18.73,50.11,100.74,578.8,502.34,747.71,703.66,630.11,2,Moderate Activity
2,18.62,51.83,106.84,596.56,467.66,747.32,703.82,630.21,1,Moderate Activity
2,18.28,47.21,87.11,612.7,495.16,754.96,719.19,650.5,0,Moderate Activity
2,18.05,47.82,86.1,612.17,482.1,766.68,728.85,652.96,0,Moderate Activity
2,18.46,47.28,77.89,615.05,480.64,767.82,725.66,663.89,0,Low Activity
2,21.07,40.23,66.99,631.51,571.23,777.23,743.89,692.22,0,Low Activity
1,19.0,52.74,122.45,578.93,438.36,745.96,709.06,627.54,1,High Activity
2,18.83,46.79,87.41,616.01,477.6,755.06,703.524,641.17,0,Low Activity
2,18.64,47.35,93.3,609.21,478.95,749.48,654.82,642.79,0,Low Activity
1,19.42,57.25,114.47,596.93,475.61,731.78,691.86,621.09,2,High Activity
2,19.18,54.13,85.44,583.18,459.91,728.24,682.81,607.44,1,Moderate Activity
2,18.75,47.23,92.3,610.8,469.15,755.2,714.13,645.01,0,Low Activity
2,18.12,48.85,93.17,612.03,489.97,761.61,714.806,655.67,0,Low Activity
2,18.52,48.51,96.78,608.11,506.33,755.29,717.64,642.67,1,Low Activity
1,19.28,56.07,143.19,564.69,460.06,719.48,682.49,612.19,1,Low Activity
1,16.0,45.54,63.42,622.37,584.19,784.31,777.0,699.34,0,Low Activity
2,17.8,52.13,105.19,599.41,410.02,728.86,682.18,587.01,1,Low Activity
2,17.76,54.43,109.73,598.83,405.34,722.03,683.48,575.47,1,Moderate Activity
2,19.29,45.92,61.7,627.04,566.72,783.08,750.68,694.39,0,Moderate Activity
3,25.59,48.19,114.48,543.77,473.68,690.46,617.17,553.09,2,Low Activity
3,23.38,52.17,103.2,547.34,467.69,706.54,660.66,592.1,2,Low Activity
2,17.85,56.6,107.01,602.77,426.07,714.39,684.23,607.23,1,Low Activity
2,17.76,55.78,114.21,598.38,436.27,897.13,668.588,595.92,1,Moderate Activity
2,17.29,48.56,102.07,590.6,508.18,716.74,655.43,579.39,1,Low Activity
2,18.35,51.83,99.09,607.65,467.26,747.23,701.67,619.85,1,Low Activity
0,18.19,51.76,124.48,589.12,487.58,747.98,708.68,654.44,1,Low Activity
2,18.25,52.2,103.08,599.28,482.48,735.06,688.126,613.64,1,High Activity
2,18.23,52.56,107.9,597.38,456.57,736.14,766.1379999999999,610.16,1,Low Activity
1,18.31,52.82,73.61,572.69,604.09,765.78,740.004,682.9,0,Low Activity
2,18.47,52.57,111.38,595.79,445.14,730.16,686.82,603.98,1,Moderate Activity
2,18.13,53.55,112.0,588.31,447.69,723.16,676.598,598.65,1,Moderate Activity
2,18.05,53.33,108.8,596.23,451.8,888.24,683.46,610.51,1,Low Activity
2,18.12,53.25,112.24,596.7,451.24,721.43,701.444,597.21,1,Moderate Activity
3,23.12,45.81,115.24,578.93,450.67,732.45,719.918,609.57,1,Moderate Activity
0,20.65,54.52,125.01,544.9,449.15,661.1,600.55,525.35,3,Low Activity
0,20.9,55.95,134.51,560.54,444.21,713.75,661.66,583.17,1,Low Activity
2,18.28,52.8,122.13,599.41,473.29,692.84,665.27,566.96,1,Low Activity
2,18.24,53.1,125.5,591.44,467.32,709.32,695.406,555.67,1,High Activity
3,18.21,53.41,129.12,587.75,474.1,698.05,661.74,560.65,1,Moderate Activity
1,18.07,52.47,116.98,596.03,485.93,762.1,734.79,656.2,1,Low Activity
3,21.58,44.01,95.83,593.35,494.82,815.9,691.226,611.69,1,High Activity
2,16.3,47.15,78.83,604.72,532.62,761.44,723.25,673.26,0,Moderate Activity
1,16.95,53.22,84.61,605.5,530.84,759.46,708.34,654.31,1,Moderate Activity
3,20.93,48.83,132.05,584.21,468.14,697.37,640.104,562.78,1,Low Activity
3,21.58,47.64,136.34,585.01,467.77,706.13,663.32,567.94,1,Low Activity
3,21.76,47.54,129.73,588.78,473.39,704.1,523.73,571.41,1,Low Activity
3,22.13,45.99,121.42,575.91,414.22,722.04,679.72,606.74,2,High Activity
3,21.75,48.04,132.53,585.62,476.93,706.78,671.64,570.89,1,Low Activity
0,21.37,57.89,123.72,550.6,470.24,704.35,657.46,590.44,1,Low Activity
0,22.62,53.94,113.99,549.52,451.3,705.5,660.08,577.97,1,Low Activity
3,22.25,47.61,178.33,586.05,452.67,699.44,658.27,558.51,1,Low Activity
2,19.36,51.02,86.75,605.05,515.67,750.58,722.6,649.14,0,Low Activity
1,18.4,47.11,75.75,562.22,544.74,760.79,705.52,655.42,1,Moderate Activity
3,23.24,46.3,153.49,575.94,449.26,682.08,647.72,546.06,1,Low Activity
3,23.72,44.97,148.74,584.9,454.7,688.85,649.26,557.03,1,Low Activity
3,23.25,46.02,145.41,581.33,448.75,686.13,654.44,548.95,1,Low Activity
2,17.33,47.63,82.59,613.07,438.34,757.98,725.52,649.64,0,Moderate Activity
3,24.25,43.97,141.48,578.35,449.55,690.96,658.03,551.32,1,Low Activity
2,16.04,45.13,64.1,613.3,606.8,798.37,753.96,708.83,0,Low Activity
3,23.85,44.5,142.47,589.69,441.75,700.97,659.06,558.93,1,Low Activity
